id,endereco_tse,cep,bairro,nome_municipio,uf,municipio_id,latitude,longitude
19-0230,RUA FIGUEIREDO CAMARGO 1133 - SALA 205,21870210,BANGU,RIO DE JANEIRO,RJ,3304557,-22.87089685109666,-43.46039608089574
19-0231,"RUA FIGUEIREDO CAMARGO, 1133, SALA 201",21870210,BANGU,RIO DE JANEIRO,RJ,3304557,-22.87089685109666,-43.46039608089574
19-0232,"RUA FIGUEIREDO CAMARGO, 1133 SL 304",21870210,BANGU,RIO DE JANEIRO,RJ,3304557,-22.87089685109666,-43.46039608089574
19-0233,"RUA FIGUEIREDO CAMARGO, 1.133 - SALA 202",21870210,BANGU,RIO DE JANEIRO,RJ,3304557,-22.87089685109666,-43.46039608089574
19-0234,"RUA FIGUEIREDO CAMARGO, 1133, SALA 203",21870210,BANGU,RIO DE JANEIRO,RJ,3304557,-22.87089685109666,-43.46039608089574
19-0235,"RUA FIGUEIREDO CAMARGO, 1133 SL. 302",21870210,BANGU,RIO DE JANEIRO,RJ,3304557,-22.87089685109666,-43.46039608089574
19-0236,"RUA FIGUEIREDO CAMARGO, 1133/301",21870210,BANGU,RIO DE JANEIRO,RJ,3304557,-22.87089685109666,-43.46039608089574
19-0237,"RUA FIGUEIREDO CAMARGO, 1133, SALA 305",21870210,BANGU,RIO DE JANEIRO,RJ,3304557,-22.87089685109666,-43.46039608089574
19-0238,RUA SILVA CARDOSO 349 SL 13 - XVII R.A.,21810030,BANGU,RIO DE JANEIRO,RJ,3304557,-22.87844625844007,-43.46312048725655
19-0240,RUA MARTINHO DE CAMPOS S/N,23515040,SANTA CRUZ,RIO DE JANEIRO,RJ,3304557,-22.917710230715265,-43.68557858956168
19-0241,RUA MARTINHO DE CAMPOS S/N POSTO AGRICOLA,23515040,SANTA CRUZ,RIO DE JANEIRO,RJ,3304557,-22.917710230715265,-43.68557858956168
19-0242,AV. CESARIO DE MELLO 3963,23050100,CAMPO GRANDE,RIO DE JANEIRO,RJ,3304557,-22.899934962848576,-43.60032713100446
19-0243,RUA MARTINHO DE CAMPOS S/N,23515040,SANTA CRUZ,RIO DE JANEIRO,RJ,3304557,-22.917710230715265,-43.68557858956168
19-0244,RUA DOM PEDRITO 1 - XVIII R.A.,23070170,CAMPO GRANDE,RIO DE JANEIRO,RJ,3304557,-22.903236805929552,-43.572734912390885
19-0245,ANTIGA ESTRADA RIO-SAO PAULO 176,23087005,CAMPO GRANDE,RIO DE JANEIRO,RJ,3304557,-22.890440626884743,-43.56517843329765
19-0246,RUA MARTINHO DE CAMPOS S/N  POSTO AGRÍCOLA,23515040,SANTA CRUZ,RIO DE JANEIRO,RJ,3304557,-22.917710230715265,-43.68557858956168
19-0252,RUA MIGUEL LEMOS 97  3 ANDAR,22071000,COPACABANA,RIO DE JANEIRO,RJ,3304557,-22.977268289826437,-43.19275208089392
19-0253,NAO INFORMADO,0,CENTRO,RIO DE JANEIRO,RJ,3304557,-22.905920728845377,-43.183166102599145
